title,runtime,audience_score,movie_score,tomatometer_count,user_rating_count,genre_Action,genre_Adventure,genre_Comedy,genre_Fantasy,genre_Horror,genre_Romance,genre_Sci-fi,genre_Special Interest,genre_Western,genre_FamilyKids,genre_AnimationManga,genre_FitnessSports,genre_DramaTele,genre_MusicalPerfarts,genre_ClassicsCult,genre_ArthouseInter,genre_ThrillMysSusp,genre_HistDocument,G,NC17,NR,PG,PG-13,R,ss_mean,ss_median,ss_p25,ss_p75,ss_std,ss_count,domestic_gross,domestic_opening,foreign_gross,markets,total_gross,markets_missing,audience_score_positive,movie_score_positive
Fractured,100.0,,69,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.6923076923076923,1.0,0.0,1.0,0.4803844614152614,13.0,39015018.0,11014657.0,52339197.0,61.0,91354215.0,0.0,False,True
Quartet,100.0,33.0,46,13,108.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.8461538461538461,1.0,1.0,1.0,0.3755338080994054,13.0,18390117.0,47122.0,41130181.0,41.0,59520298.0,0.0,False,False
The Grief of Others,103.0,70.0,100,11,50.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.9090909090909092,1.0,1.0,1.0,0.30151134457776363,11.0,,,,,,,True,True
Spider-Man: Far From Home,130.0,95.0,90,416,69181.0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8677884615384616,1.0,1.0,1.0,0.3391284555452683,416.0,390532085.0,92579212.0,741299721.0,76.0,1131831806.0,0.0,True,True
Super Size Me 2: Holy Chicken!,93.0,61.0,70,30,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.8,1.0,1.0,1.0,0.40683810217248617,30.0,,,,,,,True,True
Bodied,120.0,87.0,90,77,761.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.8311688311688312,1.0,1.0,1.0,0.3770591675822593,77.0,113956.0,53000.0,0.0,,113956.0,1.0,True,True
My Son (Mon garçon),84.0,15.0,55,20,14.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0.75,1.0,0.75,1.0,0.4442616583193192,20.0,,,,,,,False,False
In the Aisles (In den Gängen),125.0,72.0,88,34,29.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.7647058823529411,1.0,1.0,1.0,0.43056154520204615,34.0,,,,,,,True,True
The Wedding Year,90.0,,38,8,,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,0.0,1.0,0.5345224838248488,8.0,0.0,0.0,41767.0,,41767.0,1.0,False,False
Golden Boy,104.0,,67,6,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.5,0.5,0.0,1.0,0.5477225575051661,6.0,8863193.0,3583151.0,0.0,,8863193.0,1.0,False,False
The Weekend,86.0,54.0,85,20,15.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.75,1.0,0.75,1.0,0.44426165831931935,20.0,32050.0,16266.0,0.0,,32050.0,1.0,False,True
Wild Rose,101.0,88.0,93,171,168.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.912280701754386,1.0,1.0,1.0,0.28371703515501434,171.0,1635117.0,52938.0,5488332.0,10.0,7123449.0,0.0,True,True
"A Bread Factory, Part One: For the Sake of Gold",122.0,69.0,100,27,49.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.8518518518518519,1.0,1.0,1.0,0.3620139928982457,27.0,8663.0,5847.0,0.0,,8663.0,1.0,True,True
"A Bread Factory, Part Two: Walk with Me a While",120.0,,100,19,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0.8421052631578947,1.0,1.0,1.0,0.3746343246326776,19.0,8663.0,5847.0,0.0,,8663.0,1.0,False,True
Seeds,,,45,11,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.7272727272727273,1.0,0.5,1.0,0.4670993664969138,11.0,0.0,0.0,262014.0,,262014.0,1.0,False,False
Skin,110.0,87.0,77,71,225.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.7746478873239436,1.0,1.0,1.0,0.4207878019209597,71.0,0.0,0.0,127476.0,,127476.0,1.0,True,True
American Dreamer,92.0,90.0,54,13,45.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.6923076923076923,1.0,0.0,1.0,0.4803844614152614,13.0,5021751.0,1580990.0,0.0,,5021751.0,1.0,True,False
"Empathy, Inc.",98.0,90.0,85,26,21.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0.8076923076923077,1.0,1.0,1.0,0.4019184762342501,26.0,,,,,,,True,True
Annabelle Comes Home,100.0,70.0,64,194,9400.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.6804123711340206,1.0,0.0,1.0,0.4675233335470314,194.0,74152591.0,20269723.0,154400000.0,43.0,228552591.0,0.0,True,False
The Sound of Silence,88.0,,63,41,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.8048780487804879,1.0,1.0,1.0,0.4012176588288425,41.0,20013.0,5449.0,1981.0,,21994.0,1.0,False,False
Tall Girl,102.0,,38,8,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.5,0.5,0.0,1.0,0.5345224838248488,8.0,0.0,0.0,1922273.0,,1922273.0,1.0,False,False
